snr_db,method,nmse_mean,count
10,Cond-DnCNN,0.86829080,6
10,DnCNN,0.86827333,6
10,Enhanced-DnCNN,0.86855503,6
10,LS,0.86877616,6
10,PICASSO-cond-full,0.85948412,6
10,PICASSO-full,0.85961788,6
10,PICASSO-rec,0.86259033,6
10,PICASSO-rec-adv,0.86119326,6
10,PICASSO-rec-physics,0.86798043,6
20,Cond-DnCNN,0.85511826,6
20,DnCNN,0.85522212,6
20,Enhanced-DnCNN,0.85525211,6
20,LS,0.85551579,6
20,PICASSO-cond-full,0.85020135,6
20,PICASSO-full,0.84915350,6
20,PICASSO-rec,0.85250066,6
20,PICASSO-rec-adv,0.85396022,6
20,PICASSO-rec-physics,0.85206781,6
