stage,seed,method,pilot_ratio,snr_db,nmse,mse,mae,pilot_consistency_error,delay_sparsity_score,epochs_used,train_samples,val_samples,test_samples,runtime_seconds,loss_mode,lambda_adv,lambda_pilot,lambda_smooth,lambda_sparse,param_count
stage3a_larger_training,42,LS,0.1250,10,0.88725827,0.44362913,0.51677794,0.00000000,0.32930934,0,1024,256,512,0.2533,,0.0,0.0,0.0,0.0,0
stage3a_larger_training,42,DnCNN,0.1250,10,0.86994359,0.43497179,0.51093811,0.00525825,0.43664982,10,1024,256,512,1.8551,,0.0,0.0,0.0,0.0,29506
stage3a_larger_training,42,Enhanced-DnCNN,0.1250,10,0.86911882,0.43455941,0.51066577,0.00549407,0.44596658,10,1024,256,512,1.9608,,0.0,0.0,0.0,0.0,225090
stage3a_larger_training,42,PICASSO-rec,0.1250,10,0.86697955,0.43348977,0.50961037,0.00481373,0.48999304,10,1024,256,512,3.5305,rec_only,0.0,0.0,0.0,0.0,445506
stage3a_larger_training,42,PICASSO-rec-physics,0.1250,10,0.86807840,0.43403920,0.50992938,0.00480855,0.49703819,10,1024,256,512,3.4185,rec_physics,0.0,1.0,0.05,0.05,445506
stage3a_larger_training,42,PICASSO-full,0.1250,10,0.86894470,0.43447235,0.51016828,0.00470018,0.49679577,10,1024,256,512,5.3070,full,0.001,1.0,0.05,0.05,445506
stage3a_larger_training,42,PICASSO-cond-full,0.1250,10,0.86821252,0.43410626,0.50997335,0.00480606,0.49890433,10,1024,256,512,5.3301,full,0.001,1.0,0.05,0.05,446658
stage3a_larger_training,42,LS,0.1250,20,0.87591979,0.43795989,0.50145511,0.00000000,0.34447931,0,1024,256,512,0.0228,,0.0,0.0,0.0,0.0,0
stage3a_larger_training,42,DnCNN,0.1250,20,0.85711569,0.42855784,0.49586114,0.00056257,0.47048922,10,1024,256,512,0.7308,,0.0,0.0,0.0,0.0,29506
stage3a_larger_training,42,Enhanced-DnCNN,0.1250,20,0.85816641,0.42908321,0.49677641,0.00123995,0.45630980,10,1024,256,512,1.9413,,0.0,0.0,0.0,0.0,225090
stage3a_larger_training,42,PICASSO-rec,0.1250,20,0.85486131,0.42743066,0.49464438,0.00028307,0.51059153,10,1024,256,512,3.4250,rec_only,0.0,0.0,0.0,0.0,445506
stage3a_larger_training,42,PICASSO-rec-physics,0.1250,20,0.85641184,0.42820592,0.49518506,0.00051030,0.51748099,10,1024,256,512,3.4368,rec_physics,0.0,1.0,0.05,0.05,445506
stage3a_larger_training,42,PICASSO-full,0.1250,20,0.85624016,0.42812008,0.49510740,0.00045303,0.51900375,10,1024,256,512,5.3135,full,0.001,1.0,0.05,0.05,445506
stage3a_larger_training,42,PICASSO-cond-full,0.1250,20,0.85668070,0.42834035,0.49524194,0.00044469,0.51660065,10,1024,256,512,5.3611,full,0.001,1.0,0.05,0.05,446658
stage3a_larger_training,42,LS,0.0625,10,0.94361719,0.47180859,0.54092628,0.00000000,0.21084760,0,1024,256,512,0.0188,,0.0,0.0,0.0,0.0,0
stage3a_larger_training,42,DnCNN,0.0625,10,0.93662092,0.46831046,0.53856230,0.00633110,0.30925822,10,1024,256,512,0.7724,,0.0,0.0,0.0,0.0,29506
stage3a_larger_training,42,Enhanced-DnCNN,0.0625,10,0.93736471,0.46868236,0.53884224,0.00860657,0.29407087,10,1024,256,512,1.9206,,0.0,0.0,0.0,0.0,225090
stage3a_larger_training,42,PICASSO-rec,0.0625,10,0.93444580,0.46722290,0.53763482,0.00498532,0.38687819,10,1024,256,512,3.4537,rec_only,0.0,0.0,0.0,0.0,445506
stage3a_larger_training,42,PICASSO-rec-physics,0.0625,10,0.93506296,0.46753148,0.53782997,0.00511909,0.39929337,10,1024,256,512,3.4256,rec_physics,0.0,1.0,0.05,0.05,445506
stage3a_larger_training,42,PICASSO-full,0.0625,10,0.93531366,0.46765683,0.53786867,0.00467289,0.40473906,10,1024,256,512,5.3018,full,0.001,1.0,0.05,0.05,445506
stage3a_larger_training,42,PICASSO-cond-full,0.0625,10,0.93502486,0.46751243,0.53779276,0.00467317,0.40729801,10,1024,256,512,5.3544,full,0.001,1.0,0.05,0.05,446658
stage3a_larger_training,42,LS,0.0625,20,0.93796236,0.46898118,0.53326873,0.00000000,0.21448831,0,1024,256,512,0.0175,,0.0,0.0,0.0,0.0,0
stage3a_larger_training,42,DnCNN,0.0625,20,0.93075559,0.46537779,0.53148787,0.00129862,0.32426258,10,1024,256,512,0.8381,,0.0,0.0,0.0,0.0,29506
stage3a_larger_training,42,Enhanced-DnCNN,0.0625,20,0.92976996,0.46488498,0.53091823,0.00066055,0.35288984,10,1024,256,512,1.9413,,0.0,0.0,0.0,0.0,225090
stage3a_larger_training,42,PICASSO-rec,0.0625,20,0.92862962,0.46431481,0.53026831,0.00036072,0.39960683,10,1024,256,512,3.4262,rec_only,0.0,0.0,0.0,0.0,445506
stage3a_larger_training,42,PICASSO-rec-physics,0.0625,20,0.92919867,0.46459933,0.53043173,0.00054689,0.40994215,10,1024,256,512,3.4425,rec_physics,0.0,1.0,0.05,0.05,445506
stage3a_larger_training,42,PICASSO-full,0.0625,20,0.92930595,0.46465297,0.53043971,0.00050579,0.42033170,10,1024,256,512,5.2886,full,0.001,1.0,0.05,0.05,445506
stage3a_larger_training,42,PICASSO-cond-full,0.0625,20,0.92933077,0.46466539,0.53047958,0.00051047,0.40969909,10,1024,256,512,5.3737,full,0.001,1.0,0.05,0.05,446658
stage3a_larger_training,123,LS,0.1250,10,0.88721453,0.44360727,0.51696380,0.00000000,0.32803465,0,1024,256,512,0.0187,,0.0,0.0,0.0,0.0,0
stage3a_larger_training,123,DnCNN,0.1250,10,0.86877150,0.43438575,0.51078707,0.00616991,0.43926424,10,1024,256,512,0.7743,,0.0,0.0,0.0,0.0,29506
stage3a_larger_training,123,Enhanced-DnCNN,0.1250,10,0.86727879,0.43363940,0.51021205,0.00477967,0.45186201,10,1024,256,512,1.9390,,0.0,0.0,0.0,0.0,225090
stage3a_larger_training,123,PICASSO-rec,0.1250,10,0.86513177,0.43256589,0.50921156,0.00482235,0.49029632,10,1024,256,512,3.4508,rec_only,0.0,0.0,0.0,0.0,445506
stage3a_larger_training,123,PICASSO-rec-physics,0.1250,10,0.86601824,0.43300912,0.50936294,0.00459390,0.50365373,10,1024,256,512,3.5356,rec_physics,0.0,1.0,0.05,0.05,445506
stage3a_larger_training,123,PICASSO-full,0.1250,10,0.86585660,0.43292830,0.50940171,0.00462171,0.49632759,10,1024,256,512,5.3799,full,0.001,1.0,0.05,0.05,445506
stage3a_larger_training,123,PICASSO-cond-full,0.1250,10,0.86570881,0.43285440,0.50931871,0.00450118,0.50155464,10,1024,256,512,5.4143,full,0.001,1.0,0.05,0.05,446658
stage3a_larger_training,123,LS,0.1250,20,0.87587477,0.43793739,0.50164165,0.00000000,0.34289575,0,1024,256,512,0.0200,,0.0,0.0,0.0,0.0,0
stage3a_larger_training,123,DnCNN,0.1250,20,0.85771239,0.42885619,0.49708978,0.00161643,0.44463493,10,1024,256,512,0.7970,,0.0,0.0,0.0,0.0,29506
stage3a_larger_training,123,Enhanced-DnCNN,0.1250,20,0.85520093,0.42760047,0.49549251,0.00057805,0.47006857,10,1024,256,512,1.9432,,0.0,0.0,0.0,0.0,225090
stage3a_larger_training,123,PICASSO-rec,0.1250,20,0.85311320,0.42655660,0.49427177,0.00033054,0.51241527,10,1024,256,512,3.4370,rec_only,0.0,0.0,0.0,0.0,445506
stage3a_larger_training,123,PICASSO-rec-physics,0.1250,20,0.85367788,0.42683894,0.49452652,0.00054760,0.51814672,10,1024,256,512,3.4565,rec_physics,0.0,1.0,0.05,0.05,445506
stage3a_larger_training,123,PICASSO-full,0.1250,20,0.85368532,0.42684266,0.49444025,0.00051670,0.52397934,10,1024,256,512,5.3882,full,0.001,1.0,0.05,0.05,445506
stage3a_larger_training,123,PICASSO-cond-full,0.1250,20,0.85372247,0.42686123,0.49439716,0.00038576,0.52123713,10,1024,256,512,5.3690,full,0.001,1.0,0.05,0.05,446658
stage3a_larger_training,123,LS,0.0625,10,0.94368947,0.47184473,0.54119308,0.00000000,0.21063309,0,1024,256,512,0.0187,,0.0,0.0,0.0,0.0,0
stage3a_larger_training,123,DnCNN,0.0625,10,0.93622698,0.46811349,0.53868318,0.00629547,0.31279196,10,1024,256,512,0.9228,,0.0,0.0,0.0,0.0,29506
stage3a_larger_training,123,Enhanced-DnCNN,0.0625,10,0.93506769,0.46753385,0.53829808,0.00696422,0.33900767,10,1024,256,512,2.1069,,0.0,0.0,0.0,0.0,225090
stage3a_larger_training,123,PICASSO-rec,0.0625,10,0.93372422,0.46686211,0.53765818,0.00514659,0.38919598,10,1024,256,512,3.6129,rec_only,0.0,0.0,0.0,0.0,445506
stage3a_larger_training,123,PICASSO-rec-physics,0.0625,10,0.93423274,0.46711637,0.53780729,0.00495624,0.40039075,10,1024,256,512,3.7292,rec_physics,0.0,1.0,0.05,0.05,445506
stage3a_larger_training,123,PICASSO-full,0.0625,10,0.93415136,0.46707568,0.53778161,0.00448168,0.40374467,10,1024,256,512,5.4509,full,0.001,1.0,0.05,0.05,445506
stage3a_larger_training,123,PICASSO-cond-full,0.0625,10,0.93405104,0.46702552,0.53775544,0.00480765,0.39931931,10,1024,256,512,5.3669,full,0.001,1.0,0.05,0.05,446658
stage3a_larger_training,123,LS,0.0625,20,0.93803037,0.46901518,0.53353553,0.00000000,0.21405690,0,1024,256,512,0.0204,,0.0,0.0,0.0,0.0,0
stage3a_larger_training,123,DnCNN,0.0625,20,0.93013354,0.46506677,0.53125918,0.00068355,0.33596488,10,1024,256,512,0.7639,,0.0,0.0,0.0,0.0,29506
stage3a_larger_training,123,Enhanced-DnCNN,0.0625,20,0.92894900,0.46447450,0.53087998,0.00056540,0.35401957,10,1024,256,512,1.9159,,0.0,0.0,0.0,0.0,225090
stage3a_larger_training,123,PICASSO-rec,0.0625,20,0.92789339,0.46394669,0.53025367,0.00034835,0.39792074,10,1024,256,512,3.4764,rec_only,0.0,0.0,0.0,0.0,445506
stage3a_larger_training,123,PICASSO-rec-physics,0.0625,20,0.92819146,0.46409573,0.53040469,0.00063279,0.40826975,10,1024,256,512,3.4400,rec_physics,0.0,1.0,0.05,0.05,445506
stage3a_larger_training,123,PICASSO-full,0.0625,20,0.92833921,0.46416960,0.53040886,0.00054824,0.41570427,10,1024,256,512,5.3518,full,0.001,1.0,0.05,0.05,445506
stage3a_larger_training,123,PICASSO-cond-full,0.0625,20,0.92852552,0.46426276,0.53046385,0.00045781,0.40443476,10,1024,256,512,5.4960,full,0.001,1.0,0.05,0.05,446658
