method,pilot_ratio,snr_db,nmse_mean,nmse_std,mse_mean,mse_std,mae_mean,mae_std,pilot_error_mean,pilot_error_std,count
DnCNN,0.0625,10,0.94156150,0.00096225,0.47078075,0.00048112,0.54024438,0.00055375,0.00048218,0.00026604,3
DnCNN,0.0625,20,0.93592251,0.00114677,0.46796125,0.00057339,0.53278492,0.00049318,0.00024757,0.00014411,3
DnCNN,0.0625,30,0.93567109,0.00137542,0.46783555,0.00068771,0.53064964,0.00046449,0.00026939,0.00017982,3
DnCNN,0.1250,10,0.88175042,0.00114129,0.44087521,0.00057064,0.51494112,0.00044694,0.00072544,0.00041431,3
DnCNN,0.1250,20,0.87015656,0.00099087,0.43507828,0.00049543,0.50000501,0.00016990,0.00030135,0.00002271,3
DnCNN,0.1250,30,0.86912573,0.00251589,0.43456287,0.00125795,0.49548168,0.00059930,0.00025391,0.00013751,3
DnCNN,0.2500,10,0.75701783,0.00622953,0.37850891,0.00311476,0.46293545,0.00189525,0.00060503,0.00026735,3
DnCNN,0.2500,20,0.73778102,0.00142953,0.36889051,0.00071476,0.43437812,0.00021674,0.00048492,0.00012493,3
DnCNN,0.2500,30,0.73091236,0.00332583,0.36545618,0.00166291,0.42488770,0.00116152,0.00069827,0.00014428,3
DnCNN,0.5000,10,0.50375788,0.00475742,0.25187894,0.00237871,0.35601980,0.00177405,0.00398316,0.00047266,3
DnCNN,0.5000,20,0.47133721,0.00278561,0.23566860,0.00139281,0.30319300,0.00057078,0.00126436,0.00028170,3
DnCNN,0.5000,30,0.46394822,0.00236183,0.23197411,0.00118091,0.28894399,0.00067807,0.00163184,0.00041068,3
Enhanced-DnCNN,0.0625,10,0.94075326,0.00049411,0.47037663,0.00024705,0.53998372,0.00008998,0.00203483,0.00143174,3
Enhanced-DnCNN,0.0625,20,0.93556775,0.00051971,0.46778387,0.00025986,0.53288928,0.00029492,0.00073755,0.00010309,3
Enhanced-DnCNN,0.0625,30,0.93480006,0.00199790,0.46740003,0.00099895,0.53113627,0.00062258,0.00244094,0.00380430,3
Enhanced-DnCNN,0.1250,10,0.87630794,0.00055935,0.43815397,0.00027968,0.51306858,0.00028002,0.00649942,0.00220941,3
Enhanced-DnCNN,0.1250,20,0.86523675,0.00434190,0.43261837,0.00217095,0.49984751,0.00153689,0.00278191,0.00036444,3
Enhanced-DnCNN,0.1250,30,0.86381737,0.00074845,0.43190869,0.00037423,0.49726303,0.00070978,0.00398984,0.00119904,3
Enhanced-DnCNN,0.2500,10,0.74785878,0.00379943,0.37392939,0.00189971,0.45961616,0.00103714,0.00617527,0.00193873,3
Enhanced-DnCNN,0.2500,20,0.72542450,0.00313788,0.36271225,0.00156894,0.43362901,0.00179936,0.00371341,0.00158734,3
Enhanced-DnCNN,0.2500,30,0.72111528,0.00589176,0.36055764,0.00294588,0.42712995,0.00126313,0.00399967,0.00115449,3
Enhanced-DnCNN,0.5000,10,0.49700820,0.00500158,0.24850410,0.00250079,0.35486837,0.00222230,0.01563928,0.00146283,3
Enhanced-DnCNN,0.5000,20,0.44901808,0.00570077,0.22450904,0.00285038,0.29734554,0.00424011,0.00292683,0.00065788,3
Enhanced-DnCNN,0.5000,30,0.44658293,0.00868180,0.22329147,0.00434090,0.28395872,0.00294237,0.00235095,0.00087664,3
LS,0.0625,10,0.94357639,0.00013808,0.47178819,0.00006904,0.54093616,0.00025213,0.00000000,0.00000000,3
LS,0.0625,20,0.93793034,0.00011931,0.46896517,0.00005965,0.53329303,0.00023131,0.00000000,0.00000000,3
LS,0.0625,30,0.93736574,0.00011743,0.46868287,0.00005872,0.53087606,0.00022490,0.00000000,0.00000000,3
LS,0.1250,10,0.88727182,0.00006514,0.44363591,0.00003256,0.51678077,0.00018164,0.00000000,0.00000000,3
LS,0.1250,20,0.87596974,0.00012750,0.43798487,0.00006375,0.50149168,0.00013544,0.00000000,0.00000000,3
LS,0.1250,30,0.87483954,0.00013382,0.43741977,0.00006691,0.49665685,0.00012291,0.00000000,0.00000000,3
LS,0.2500,10,0.77485483,0.00050264,0.38742741,0.00025132,0.46844591,0.00027959,0.00000000,0.00000000,3
LS,0.2500,20,0.75230606,0.00046992,0.37615303,0.00023496,0.43790077,0.00024377,0.00000000,0.00000000,3
LS,0.2500,30,0.75005119,0.00046666,0.37502559,0.00023333,0.42824154,0.00023249,0.00000000,0.00000000,3
LS,0.5000,10,0.55020894,0.00031070,0.27510447,0.00015535,0.37186564,0.00019450,0.00000000,0.00000000,3
LS,0.5000,20,0.50524942,0.00027459,0.25262471,0.00013729,0.31086888,0.00017067,0.00000000,0.00000000,3
LS,0.5000,30,0.50075348,0.00027098,0.25037674,0.00013549,0.29158001,0.00016321,0.00000000,0.00000000,3
PICASSO-full-light-adv,0.0625,10,0.93524676,0.00093852,0.46762338,0.00046926,0.53800269,0.00052302,0.00543904,0.00011498,3
PICASSO-full-light-adv,0.0625,20,0.92911396,0.00035393,0.46455698,0.00017697,0.53059907,0.00015551,0.00075239,0.00015666,3
PICASSO-full-light-adv,0.0625,30,0.92915572,0.00186330,0.46457786,0.00093165,0.52856771,0.00078129,0.00037838,0.00009281,3
PICASSO-full-light-adv,0.1250,10,0.86804103,0.00174418,0.43402051,0.00087210,0.50990981,0.00079532,0.00477842,0.00011759,3
PICASSO-full-light-adv,0.1250,20,0.85677209,0.00151924,0.42838605,0.00075962,0.49550391,0.00043866,0.00071557,0.00002329,3
PICASSO-full-light-adv,0.1250,30,0.85640047,0.00258903,0.42820023,0.00129452,0.49138039,0.00113001,0.00038029,0.00001821,3
PICASSO-full-light-adv,0.2500,10,0.73471420,0.00277764,0.36735710,0.00138882,0.45374303,0.00111523,0.00466534,0.00014789,3
PICASSO-full-light-adv,0.2500,20,0.71143912,0.00364659,0.35571956,0.00182330,0.42436526,0.00173111,0.00068609,0.00009420,3
PICASSO-full-light-adv,0.2500,30,0.70984273,0.00391843,0.35492136,0.00195922,0.41627203,0.00153579,0.00040263,0.00002893,3
PICASSO-full-light-adv,0.5000,10,0.48670191,0.00554746,0.24335096,0.00277373,0.34381516,0.00255517,0.00569835,0.00010321,3
PICASSO-full-light-adv,0.5000,20,0.44265328,0.00660681,0.22132664,0.00330340,0.28794481,0.00635309,0.00158919,0.00022751,3
PICASSO-full-light-adv,0.5000,30,0.43749790,0.00289556,0.21874895,0.00144778,0.27335152,0.00312778,0.00098136,0.00011575,3
PICASSO-rec,0.0625,10,0.93459520,0.00085035,0.46729760,0.00042517,0.53778327,0.00052733,0.00526596,0.00002885,3
PICASSO-rec,0.0625,20,0.92866426,0.00059659,0.46433213,0.00029830,0.53042118,0.00033512,0.00071609,0.00013945,3
PICASSO-rec,0.0625,30,0.92802833,0.00104038,0.46401416,0.00052019,0.52816265,0.00058984,0.00033054,0.00001994,3
PICASSO-rec,0.1250,10,0.86697547,0.00106844,0.43348773,0.00053422,0.50955884,0.00060494,0.00483171,0.00026059,3
PICASSO-rec,0.1250,20,0.85513318,0.00139199,0.42756659,0.00069600,0.49476302,0.00070296,0.00050627,0.00007657,3
PICASSO-rec,0.1250,30,0.85386647,0.00091672,0.42693323,0.00045836,0.49032951,0.00048050,0.00034079,0.00006444,3
PICASSO-rec,0.2500,10,0.73271084,0.00210658,0.36635542,0.00105329,0.45312257,0.00102815,0.00494597,0.00014469,3
PICASSO-rec,0.2500,20,0.70941347,0.00215890,0.35470674,0.00107945,0.42369981,0.00118020,0.00055652,0.00010808,3
PICASSO-rec,0.2500,30,0.70661614,0.00324625,0.35330807,0.00162312,0.41456826,0.00157592,0.00033031,0.00002037,3
PICASSO-rec,0.5000,10,0.48297862,0.00488572,0.24148931,0.00244286,0.34111333,0.00242161,0.00619230,0.00027166,3
PICASSO-rec,0.5000,20,0.43802881,0.00505337,0.21901441,0.00252669,0.28353648,0.00208857,0.00148254,0.00019709,3
PICASSO-rec,0.5000,30,0.42968401,0.00427828,0.21484201,0.00213914,0.26857870,0.00214717,0.00099105,0.00006935,3
PICASSO-rec-physics,0.0625,10,0.93483474,0.00092632,0.46741737,0.00046316,0.53781023,0.00055643,0.00512795,0.00032081,3
PICASSO-rec-physics,0.0625,20,0.92901449,0.00067093,0.46450724,0.00033547,0.53054665,0.00024211,0.00078551,0.00007755,3
PICASSO-rec-physics,0.0625,30,0.92891472,0.00128823,0.46445736,0.00064412,0.52844996,0.00074949,0.00036303,0.00005582,3
PICASSO-rec-physics,0.1250,10,0.86785304,0.00135319,0.43392652,0.00067660,0.50982880,0.00051390,0.00475316,0.00003567,3
PICASSO-rec-physics,0.1250,20,0.85695590,0.00053626,0.42847795,0.00026813,0.49562042,0.00030458,0.00075690,0.00004253,3
PICASSO-rec-physics,0.1250,30,0.85478479,0.00154824,0.42739240,0.00077412,0.49063595,0.00067132,0.00035274,0.00003797,3
PICASSO-rec-physics,0.2500,10,0.73459853,0.00302228,0.36729926,0.00151114,0.45375296,0.00120944,0.00479867,0.00020622,3
PICASSO-rec-physics,0.2500,20,0.71248556,0.00370738,0.35624278,0.00185369,0.42508934,0.00197998,0.00077288,0.00010001,3
PICASSO-rec-physics,0.2500,30,0.71006108,0.00221663,0.35503054,0.00110831,0.41626898,0.00076368,0.00036995,0.00004551,3
PICASSO-rec-physics,0.5000,10,0.48529829,0.00530623,0.24264914,0.00265311,0.34301406,0.00280764,0.00549115,0.00014161,3
PICASSO-rec-physics,0.5000,20,0.44194475,0.00430959,0.22097237,0.00215480,0.28854462,0.00431969,0.00152090,0.00008825,3
PICASSO-rec-physics,0.5000,30,0.43493578,0.00412312,0.21746789,0.00206156,0.27063368,0.00215891,0.00092607,0.00016909,3
